,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
447,University of Minnesota,SPECIALIZATION,4.8,Beginner,14k
448,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8.7k
449,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150k
450,ESCP Business School,COURSE,4.6,Beginner,6.5k
451,University of London,SPECIALIZATION,4.5,Intermediate,22k
452,The State University of New York,COURSE,4.4,Mixed,25k
453,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22k
454,Universiteit Leiden,COURSE,4.8,Mixed,36k
455,Universiteit Leiden,COURSE,4.8,Mixed,19k
456,Università Bocconi,COURSE,4.8,Mixed,41k
457,Yonsei University,SPECIALIZATION,4.6,Beginner,26k
458,University of Geneva,COURSE,4.8,Beginner,20k
459,Erasmus University Rotterdam,COURSE,4.5,Beginner,2.2k
460,Stanford University,COURSE,4.9,Beginner,35k
461,Sciences Po,COURSE,4.6,Beginner,11k
462,Cisco,COURSE,4.7,Beginner,36k
463,The University of Chicago,COURSE,4.8,Mixed,38k
464,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66k
465,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140k
466,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100k
467,University of Geneva,COURSE,4.8,Mixed,46k
468,Berklee College of Music,COURSE,4.8,Mixed,60k
469,IBM,COURSE,4.7,Beginner,44k
470,University of California San Diego,COURSE,4.6,Mixed,160k
471,INSEAD,COURSE,4.7,Beginner,16k
472,Yale University,COURSE,4.9,Mixed,27k
473,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14k
474,University of Michigan,COURSE,4.8,Mixed,84k
475,The University of Sydney,COURSE,4.8,Intermediate,53k
476,Duke University,COURSE,4.8,Beginner,46k
477,Yale University,COURSE,4.9,Mixed,150k
478,IBM,COURSE,4.6,Beginner,2.6k
479,"Goldsmiths, University of London",COURSE,4.3,Beginner,20k
480,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32k
481,University of Pennsylvania,COURSE,4.6,Mixed,130k
482,New York University,COURSE,4.7,Beginner,27k
483,New York University,SPECIALIZATION,4.7,Beginner,32k
484,IBM,COURSE,4.5,Beginner,30k
485,Rice University,COURSE,4.7,Mixed,99k
486,IBM,SPECIALIZATION,4.6,Beginner,310k
487,University of Michigan,COURSE,4.5,Intermediate,390k
488,University of Pennsylvania,COURSE,4.8,Beginner,25k
489,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75k
490,Georgia Institute of Technology,COURSE,4.7,Mixed,110k
491,University of Colorado Boulder,COURSE,4.5,Intermediate,41k
492,Georgia Institute of Technology,COURSE,4.7,Mixed,150k
493,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,34k
494,University of Pennsylvania,COURSE,4.7,Mixed,200k
495,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47k
496,Michigan State University,COURSE,4.8,Mixed,79k
497,Duke University,COURSE,4.8,Mixed,74k
498,Johns Hopkins University,COURSE,4.6,Mixed,42k
499,University of Michigan,COURSE,4.7,Mixed,220k
500,California Institute of the Arts,COURSE,4.5,Beginner,54k
501,University of Pennsylvania,COURSE,4.8,Beginner,6k
502,Case Western Reserve University,COURSE,4.8,Mixed,82k
503,University of Pennsylvania,COURSE,4.8,Mixed,220k
504,Stanford University,COURSE,4.8,Intermediate,270k
505,University of Pennsylvania,COURSE,4.5,Mixed,87k
506,University of Virginia,COURSE,4.4,Beginner,140k
507,The University of Edinburgh,COURSE,4.6,Mixed,370k
508,EDHEC Business School,COURSE,4.8,Mixed,11k
509,Duke University,COURSE,4.7,Beginner,160k
510,Duke University,SPECIALIZATION,4.7,Beginner,82k
511,Vanderbilt University,COURSE,4.8,Beginner,270k
512,Yale University,COURSE,4.9,Beginner,270k
513,Rice University,SPECIALIZATION,4.7,Beginner,49k
514,University of Toronto,COURSE,4.8,Advanced,39k
515,University of Pennsylvania,COURSE,4.2,Mixed,76k
516,Imperial College London,COURSE,4.7,Beginner,12k
517,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,69k
518,Johns Hopkins University,COURSE,4.8,Mixed,67k
519,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33k
520,deeplearning.ai,COURSE,4.7,Intermediate,150k
521,University of Michigan,COURSE,4.8,Beginner,4.1k
522,New York Institute of Finance,COURSE,4.0,Intermediate,13k
523,California Institute of the Arts,COURSE,4.8,Beginner,72k
524,Georgia Institute of Technology,COURSE,4.5,Beginner,87k
525,University of Michigan,COURSE,4.8,Beginner,16k
526,"University of California, Davis",COURSE,4.7,Beginner,76k
527,Johns Hopkins University,COURSE,4.8,Beginner,110k
528,Duke University,COURSE,4.7,Mixed,270k
529,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4.5k
530,Universidade de São Paulo,COURSE,4.9,Beginner,120k
531,University of Geneva,SPECIALIZATION,4.7,Beginner,99k
532,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14k
533,Rice University,SPECIALIZATION,4.5,Beginner,49k
534,Saint Petersburg State University,COURSE,4.6,Beginner,4.4k
535,Duke University,SPECIALIZATION,4.6,Beginner,380k
536,Duke University,COURSE,4.6,Beginner,160k
537,University of Cape Town,COURSE,4.5,Beginner,22k
538,JetBrains,COURSE,4.7,Intermediate,37k
539,ESSEC Business School,COURSE,4.7,Beginner,8k
540,ESSEC Business School,SPECIALIZATION,4.6,Beginner,6.3k
541,Rice University,SPECIALIZATION,4.7,Beginner,17k
542,Copenhagen Business School,COURSE,4.7,Mixed,34k
543,The George Washington University,COURSE,4.8,Beginner,16k
544,University of Michigan,SPECIALIZATION,4.7,Beginner,220k
545,University of Michigan,COURSE,4.7,Intermediate,5.9k
546,Macquarie University,SPECIALIZATION,4.8,Intermediate,16k
547,Peking University,SPECIALIZATION,4.8,Beginner,43k
548,Tsinghua University,SPECIALIZATION,4.3,Beginner,22k
549,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78k
550,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52k
551,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120k
552,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39k
553,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160k
554,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80k
555,University of Toronto,COURSE,4.8,Beginner,180k
556,Yonsei University,COURSE,4.9,Beginner,120k
557,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68k
558,IE Business School,COURSE,4.5,Intermediate,7.2k
559,ESSEC Business School,COURSE,4.7,Beginner,10k
560,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23k
561,Georgia Institute of Technology,COURSE,4.6,Mixed,29k
562,Stanford University,COURSE,4.7,Beginner,14k
563,University of Washington,SPECIALIZATION,4.6,Intermediate,290k
564,Stanford University,COURSE,4.9,Mixed,3.2m
565,University of Washington,COURSE,4.6,Mixed,240k
566,New York University,SPECIALIZATION,3.7,Intermediate,29k
567,University of London,COURSE,4.6,Beginner,19k
568,Google Cloud,COURSE,4.6,Intermediate,58k
569,Google Cloud,SPECIALIZATION,3.9,Intermediate,15k
570,IBM,COURSE,4.7,Intermediate,120k
571,Google Cloud,SPECIALIZATION,4.5,Intermediate,72k
572,Universitat de Barcelona,COURSE,4.6,Beginner,78k
573,IE School of Architecture & Design,COURSE,4.7,Beginner,43k
574,Università Bocconi,COURSE,4.7,Mixed,120k
575,University of Virginia,COURSE,4.9,Beginner,11k
576,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55k
577,HEC Paris,SPECIALIZATION,4.7,Beginner,23k
578,"University of California, Irvine",COURSE,4.7,Mixed,71k
579,University of Pennsylvania,COURSE,4.5,Beginner,27k
580,University of Toronto,COURSE,4.6,Beginner,47k
581,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22k
582,Universidade de São Paulo,COURSE,4.8,Beginner,81k
583,Universidad Austral,SPECIALIZATION,4.7,Beginner,39k
584,Universidad de Chile,COURSE,4.7,Intermediate,49k
585,IE Business School,SPECIALIZATION,4.6,Beginner,93k
586,IE Business School,SPECIALIZATION,4.4,Beginner,57k
587,Universidad de los Andes,COURSE,4.8,Mixed,58k
588,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60k
589,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,310k
590,Duke University,COURSE,4.2,Mixed,280k
591,LearnQuest,COURSE,4.6,Beginner,8.4k
592,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52k
593,"University of California, Davis",COURSE,4.7,Mixed,48k
594,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12k
595,Imperial College London,SPECIALIZATION,4.6,Beginner,150k
596,Imperial College London,COURSE,4.7,Beginner,140k
597,Imperial College London,COURSE,4.7,Beginner,51k
598,Imperial College London,COURSE,4.0,Intermediate,33k
599,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4.8k
600,Duke University,COURSE,4.9,Advanced,170k
601,Wesleyan University,SPECIALIZATION,4.3,Beginner,13k
602,University of Amsterdam,SPECIALIZATION,4.6,Beginner,260k
603,University of Illinois at Urbana-Champaign,COURSE,4.9,Beginner,73k
604,University of Pennsylvania,COURSE,4.7,Mixed,34k
605,McMaster University,COURSE,4.8,Beginner,230k
606,Universiteit Leiden,COURSE,4.7,Beginner,120k
607,University of Michigan,COURSE,4.8,Mixed,130k
608,University of Pennsylvania,COURSE,4.6,Mixed,36k
609,The Museum of Modern Art,COURSE,4.7,Beginner,310k
610,Cloudera,SPECIALIZATION,4.8,Beginner,14k
611,Northwestern University,SPECIALIZATION,4.7,Intermediate,21k
612,Google Cloud,COURSE,4.7,Intermediate,9.1k
613,Yale University,COURSE,4.8,Mixed,100k
614,University of Pennsylvania,COURSE,4.9,Mixed,40k
615,University of Alberta,COURSE,4.9,Mixed,44k
616,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,59k
617,Berklee College of Music,SPECIALIZATION,4.8,Beginner,42k
618,Berklee College of Music,COURSE,4.9,Mixed,34k
619,Berklee College of Music,SPECIALIZATION,4.8,Beginner,70k
620,Duke University,COURSE,4.8,Mixed,21k
621,deeplearning.ai,COURSE,4.6,Intermediate,40k
622,University of Michigan,COURSE,4.8,Mixed,95k
623,ESSEC Business School,SPECIALIZATION,4.7,Beginner,22k
624,VMware,COURSE,4.8,Intermediate,17k
625,Google Cloud,SPECIALIZATION,4.7,Intermediate,290k
626,deeplearning.ai,COURSE,4.9,Intermediate,630k
627,Saint Petersburg State University,COURSE,4.7,Mixed,41k
628,"University of Maryland, College Park",COURSE,4.7,Beginner,12k
629,University of Colorado System,SPECIALIZATION,4.8,Beginner,5.3k
630,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,100k
631,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,35k
632,University of California San Diego,SPECIALIZATION,4.7,Intermediate,250k
633,Duke University,SPECIALIZATION,4.6,Beginner,330k
634,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,21k
635,University of Alberta,COURSE,4.7,Intermediate,33k
636,Duke University,COURSE,4.8,Mixed,57k
637,The Linux Foundation,SPECIALIZATION,4.4,Beginner,13k
638,Google,COURSE,4.6,Beginner,76k
639,University of Pennsylvania,COURSE,4.7,Mixed,80k
640,University of Colorado Boulder,SPECIALIZATION,4.2,Advanced,6.2k
641,Northwestern University,SPECIALIZATION,4.7,Intermediate,92k
642,Universiteit Leiden,COURSE,4.7,Beginner,22k
643,University of Colorado System,SPECIALIZATION,4.8,Beginner,3.2k
644,Palo Alto Networks,SPECIALIZATION,4.6,Beginner,9.1k
645,Rice University,SPECIALIZATION,4.5,Intermediate,30k
646,University of Geneva,COURSE,4.5,Mixed,42k
647,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,8.8k
648,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,12k
649,University of Pennsylvania,COURSE,4.5,Mixed,84k
650,"University of California, Irvine",COURSE,4.7,Intermediate,79k
651,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner,8.9k
652,Michigan State University,SPECIALIZATION,4.7,Beginner,160k
653,University of Toronto,SPECIALIZATION,4.7,Beginner,83k
654,Sciences Po,COURSE,4.7,Beginner,34k
655,The University of Sydney,COURSE,4.8,Mixed,72k
656,The University of North Carolina at Chapel Hill,COURSE,4.7,Mixed,180k
657,University of Pennsylvania,COURSE,4.8,Beginner,23k
658,University of Pennsylvania,COURSE,4.8,Beginner,50k
659,University of Pennsylvania,COURSE,4.6,Beginner,40k
660,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate,67k
661,MathWorks,SPECIALIZATION,4.7,Beginner,10k
662,The State University of New York,COURSE,4.6,Intermediate,39k
663,Google Cloud,COURSE,4.7,Beginner,22k
664,University of Minnesota,COURSE,4.8,Mixed,68k
665,E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,47k
666,BCG,SPECIALIZATION,4.8,Beginner,20k
667,Universitat Autònoma de Barcelona,COURSE,4.8,Mixed,280k
668,Università Bocconi,COURSE,4.8,Mixed,79k
669,Stanford University,COURSE,4.7,Advanced,68k
670,University of London,COURSE,4.6,Beginner,36k
671,Eindhoven University of Technology,COURSE,4.8,Intermediate,39k
672,Duke University,COURSE,4.6,Beginner,250k
673,Duke University,COURSE,4.7,Beginner,19k
674,University of Michigan,COURSE,4.8,Mixed,1.3m
675,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,18k
676,"University of California, Irvine",COURSE,4.2,Beginner,70k
677,"University of California, Irvine",COURSE,4.7,Beginner,190k
678,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,440k
679,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,230k
680,Johns Hopkins University,COURSE,4.8,Mixed,190k
681,University of Virginia,COURSE,4.6,Beginner,52k
682,University of Michigan,COURSE,4.8,Beginner,110k
683,University of Michigan,COURSE,4.7,Intermediate,21k
684,University of Michigan,COURSE,4.9,Mixed,420k
685,University of Michigan,COURSE,4.8,Beginner,26k
686,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,41k
687,IBM,COURSE,4.6,Beginner,170k
688,University of Michigan,SPECIALIZATION,4.8,Beginner,1.5m
689,University of Amsterdam,COURSE,4.7,Mixed,69k
690,University of Colorado System,COURSE,4.9,Beginner,3k
691,Johns Hopkins University,COURSE,4.6,Intermediate,480k
692,Institute for the Future,COURSE,4.8,Beginner,7.7k
693,University of Minnesota,SPECIALIZATION,4.3,Intermediate,29k
694,University of Minnesota,COURSE,4.7,Mixed,35k
695,University of Alberta,SPECIALIZATION,4.7,Intermediate,23k
696,Duke University,COURSE,4.7,Beginner,24k
697,ESSEC Business School,COURSE,4.7,Beginner,5.2k
698,University of Colorado System,SPECIALIZATION,4.6,Beginner,7.2k
699,The University of Edinburgh,COURSE,4.6,Mixed,16k
700,University of Minnesota,COURSE,4.8,Mixed,15k
701,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,170k
702,Universiteit Leiden,COURSE,4.9,Mixed,36k
703,Universidade Estadual de Campinas,COURSE,4.9,Intermediate,17k
704,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,120k
705,Yale University,COURSE,4.9,Beginner,30k
706,Saint Petersburg State University,COURSE,4.7,Beginner,3.2k
707,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner,7k
708,ESSEC Business School,COURSE,4.5,Mixed,33k
709,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,370k
710,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner,2.6k
711,"University of California, Davis",COURSE,4.6,Beginner,160k
712,West Virginia University,SPECIALIZATION,4.4,Beginner,5.6k
713,HubSpot Academy,SPECIALIZATION,4.7,Beginner,16k
714,University of Alberta,COURSE,4.8,Intermediate,6.8k
715,Northwestern University,COURSE,4.5,Mixed,12k
716,University of Colorado System,SPECIALIZATION,4.8,Beginner,9.1k
717,University of Colorado Boulder,COURSE,4.8,Beginner,140k
718,"University of California, Davis",COURSE,4.7,Mixed,47k
719,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6.4k
720,Universiteit Leiden,COURSE,4.7,Beginner,14k
721,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k
722,University of Toronto,SPECIALIZATION,4.7,Advanced,39k
723,deeplearning.ai,COURSE,4.8,Intermediate,14k
724,Universidad de los Andes,COURSE,4.8,Beginner,110k
725,California Institute of the Arts,COURSE,4.7,Beginner,61k
726,Google Cloud,COURSE,4.5,Advanced,16k
727,University System of Georgia,SPECIALIZATION,4.7,Intermediate,18k
728,University System of Georgia,COURSE,4.7,Intermediate,15k
729,University of Michigan,COURSE,4.8,Beginner,20k
730,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner,22k
731,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,13k
732,Northwestern University,SPECIALIZATION,4.6,Beginner,130k
733,University of Pennsylvania,COURSE,4.6,Beginner,78k
734,Columbia University,SPECIALIZATION,4.8,Beginner,4.2k
735,Wesleyan University,COURSE,4.7,Beginner,220k
736,Stanford University,COURSE,4.8,Advanced,42k
737,University of Alberta,SPECIALIZATION,4.6,Beginner,60k
738,University of Minnesota,SPECIALIZATION,4.6,Intermediate,34k
739,University of Alberta,COURSE,4.7,Mixed,60k
740,University of Alberta,SPECIALIZATION,4.6,Beginner,110k
741,The State University of New York,COURSE,4.8,Beginner,17k
742,Berklee College of Music,COURSE,4.8,Beginner,68k
743,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,8.8k
744,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,12k
745,"University of California, Davis",COURSE,4.6,Beginner,71k
746,Georgia Institute of Technology,COURSE,4.6,Mixed,430k
747,Northwestern University,COURSE,4.7,Intermediate,12k
748,Duke University,COURSE,4.8,Mixed,16k
749,Stanford University,COURSE,4.7,Beginner,370k
750,Stanford University,COURSE,4.7,Beginner,17k
751,Imperial College London,SPECIALIZATION,4.7,Beginner,16k
752,University of Michigan,SPECIALIZATION,4.6,Beginner,34k
753,Duke University,SPECIALIZATION,4.7,Beginner,220k
754,Stanford University,COURSE,4.9,Intermediate,28k
755,ESSEC Business School,SPECIALIZATION,4.3,Advanced,60k
756,"University of California, Irvine",COURSE,4.7,Beginner,9.5k
757,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,100k
758,Copenhagen Business School,COURSE,4.7,Mixed,58k
759,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,68k
760,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,9.2k
761,Macquarie University,SPECIALIZATION,4.8,Intermediate,30k
762,IESE Business School,COURSE,4.6,Beginner,11k
763,deeplearning.ai,COURSE,4.8,Beginner,220k
764,University of Pennsylvania,COURSE,4.8,Beginner,38k
765,University of Michigan,COURSE,4.8,Mixed,750k
766,Johns Hopkins University,COURSE,4.8,Beginner,11k
767,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,7.9k
768,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate,4.9k
769,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,66k
770,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,82k
771,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,24k
772,Georgia Institute of Technology,COURSE,4.6,Mixed,29k
773,UCL Institute of Education,COURSE,4.8,Mixed,50k
774,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner,45k
775,University of Copenhagen,COURSE,4.6,Beginner,9.4k
776,LearnQuest,SPECIALIZATION,4.5,Beginner,3.9k
777,Google,COURSE,4.7,Beginner,62k
778,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,48k
779,Johns Hopkins University,COURSE,4.9,Mixed,33k
780,Arizona State University,SPECIALIZATION,4.9,Beginner,100k
781,Arizona State University,SPECIALIZATION,4.9,Beginner,62k
782,Arizona State University,COURSE,4.9,Mixed,81k
783,Arizona State University,COURSE,4.4,Intermediate,8.5k
784,Relay Graduate School of Education,COURSE,4.8,Mixed,53k
785,University of Colorado Boulder,COURSE,4.8,Beginner,49k
786,Google,COURSE,4.8,Beginner,280k
787,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170k
788,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,12k
789,Universiteit Leiden,COURSE,4.8,Beginner,90k
790,Emory University,COURSE,4.6,Beginner,130k
791,Berklee College of Music,COURSE,4.8,Intermediate,47k
792,Northwestern University,SPECIALIZATION,4.7,Beginner,23k
793,University of Toronto,COURSE,4.5,Beginner,73k
794,Google,COURSE,4.7,Beginner,130k
795,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,22k
796,Berklee College of Music,SPECIALIZATION,4.8,Beginner,84k
797,Universiteit Leiden,COURSE,4.7,Intermediate,23k
798,"University of Maryland, College Park",COURSE,4.8,Beginner,11k
799,Berklee College of Music,SPECIALIZATION,4.8,Beginner,120k
800,Johns Hopkins University,COURSE,4.6,Mixed,420k
801,University of Pennsylvania,COURSE,4.8,Mixed,7.2k
802,Yale University,COURSE,4.8,Mixed,84k
803,University of Florida,COURSE,4.9,Mixed,29k
804,"Birkbeck, University of London",COURSE,4.6,Mixed,47k
805,University of Virginia,COURSE,4.8,Beginner,130k
806,University of Virginia,COURSE,4.8,Beginner,47k
807,University of Pennsylvania,COURSE,4.9,Intermediate,9.4k
808,"University of California, Irvine",COURSE,4.6,Mixed,180k
809,"University of California, Irvine",COURSE,4.7,Mixed,120k
810,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,1.7k
811,The Hong Kong University of Science and Technology,COURSE,4.6,Mixed,50k
812,American Museum of Natural History,COURSE,4.7,Intermediate,12k
813,University of Michigan,COURSE,4.8,Beginner,59k
814,University of Florida,COURSE,4.9,Beginner,13k
815,Yale University,COURSE,4.9,Mixed,2.5m
816,Berklee College of Music,SPECIALIZATION,4.8,Beginner,320k
817,University of Toronto,COURSE,4.6,Mixed,19k
818,"University of California, Davis",COURSE,4.5,Intermediate,100k
819,University of Copenhagen,COURSE,4.8,Beginner,26k
820,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,5.2k
821,Berklee College of Music,COURSE,4.8,Beginner,28k
822,The University of Edinburgh,COURSE,4.7,Mixed,33k
823,École des Ponts ParisTech,COURSE,4.7,Beginner,14k
824,Duke University,COURSE,4.6,Beginner,200k
825,IBM,COURSE,4.6,Beginner,120k
826,Indian School of Business,SPECIALIZATION,4.3,Beginner,68k
827,UNSW Sydney (The University of New South Wales),COURSE,4.8,Mixed,45k
828,"University of California, Irvine",COURSE,4.7,Beginner,110k
829,University of Geneva,COURSE,4.9,Intermediate,5.4k
830,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k
831,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,44k
832,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,68k
833,California Institute of the Arts,COURSE,4.8,Beginner,25k
834,Johns Hopkins University,COURSE,4.8,Beginner,29k
835,University of Cape Town,COURSE,4.8,Mixed,78k
836,Stanford University,COURSE,4.9,Beginner,89k
837,Yale University,COURSE,4.8,Beginner,24k
838,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,11k
839,Tel Aviv University,COURSE,4.8,Beginner,49k
840,SOAS University of London,COURSE,4.5,Mixed,120k
841,University of Michigan,COURSE,4.7,Beginner,30k
842,The University of Chicago,COURSE,4.9,Beginner,130k
843,Unity,SPECIALIZATION,4.5,Intermediate,6.1k
844,Unity,SPECIALIZATION,4.2,Beginner,12k
845,The University of Hong Kong,COURSE,4.8,Beginner,9.5k
846,University of Amsterdam,COURSE,4.9,Intermediate,3.9k
847,University of Michigan,SPECIALIZATION,4.8,Beginner,23k
848,University of Minnesota,SPECIALIZATION,4.6,Intermediate,43k
849,University of Michigan,COURSE,4.8,Mixed,220k
850,University of Michigan,COURSE,4.8,Mixed,310k
851,Google,COURSE,4.7,Beginner,19k
852,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,63k
853,Atlassian,COURSE,4.8,Mixed,40k
854,University of Pennsylvania,COURSE,4.7,Mixed,150k
855,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner,37k
856,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,23k
857,University of Pennsylvania,COURSE,4.8,Mixed,190k
858,University of Michigan,SPECIALIZATION,4.8,Intermediate,120k
859,University of Michigan,SPECIALIZATION,4.7,Beginner,280k
860,Emory University,COURSE,4.7,Beginner,34k
861,The Museum of Modern Art,COURSE,4.7,Beginner,120k
862,UCL Institute of Education,COURSE,4.7,Mixed,35k
863,University of Pennsylvania,COURSE,4.8,Mixed,6.2k
864,IBM,COURSE,4.7,Beginner,260k
865,Northwestern University,COURSE,4.6,Mixed,94k
866,"University of California, Davis",COURSE,4.7,Beginner,32k
867,University of Pennsylvania,COURSE,4.8,Intermediate,17k
868,Michigan State University,COURSE,4.9,Beginner,12k
869,Georgia Institute of Technology,COURSE,4.7,Mixed,270k
870,Michigan State University,COURSE,4.4,Beginner,18k
871,Stanford University,COURSE,4.9,Beginner,140k
872,University of Illinois at Urbana-Champaign,COURSE,4.5,Mixed,17k
873,University of Toronto,SPECIALIZATION,3.9,Intermediate,76k
874,IESE Business School,COURSE,4.7,Beginner,25k
875,École Polytechnique,COURSE,4.8,Intermediate,190k
876,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,69k
877,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,14k
878,E-Learning Development Fund,SPECIALIZATION,4.9,Intermediate,68k
879,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,16k
880,E-Learning Development Fund,COURSE,4.8,Beginner,67k
881,E-Learning Development Fund,SPECIALIZATION,4.7,Intermediate,77k
882,National Research University Higher School of Economics,SPECIALIZATION,4.5,Intermediate,19k
883,National Research University Higher School of Economics,COURSE,4.6,Beginner,83k
884,E-Learning Development Fund,COURSE,4.9,Intermediate,41k
885,Moscow Institute of Physics and Technology,COURSE,4.7,Intermediate,45k
886,Mail.Ru Group,SPECIALIZATION,4.5,Intermediate,52k
887,Saint Petersburg State University,COURSE,4.8,Mixed,21k
888,E-Learning Development Fund,SPECIALIZATION,4.5,Intermediate,30k
889,Saint Petersburg State University,SPECIALIZATION,4.6,Intermediate,9.8k
890,National Research University Higher School of Economics,SPECIALIZATION,4.7,Beginner,38k
