,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
105,Google Cloud,COURSE,4.5,Beginner,22k
106,Google Cloud,COURSE,4.6,Intermediate,5.8k
107,Google Cloud,COURSE,4.3,Intermediate,24k
108,HEC Paris,COURSE,4.5,Mixed,67k
109,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,280k
110,Arizona State University,SPECIALIZATION,4.7,Intermediate,38k
111,University of Washington,SPECIALIZATION,4.7,Intermediate,120k
112,University of Washington,COURSE,4.7,Intermediate,77k
113,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,510k
114,HEC Paris,COURSE,4.7,Mixed,13k
115,Rice University,SPECIALIZATION,4.7,Beginner,110k
116,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24k
117,University of Virginia,SPECIALIZATION,4.7,Beginner,89k
118,Indian School of Business,SPECIALIZATION,4.5,Beginner,67k
119,Google Cloud,COURSE,4.7,Beginner,10k
120,University of Colorado Boulder,COURSE,4.8,Beginner,48k
121,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,160k
122,"University of California, Santa Cruz",COURSE,4.5,Beginner,31k
123,University of Colorado System,SPECIALIZATION,4.7,Beginner,36k
124,Johns Hopkins University,COURSE,4.9,Beginner,220k
125,Osmosis,COURSE,4.8,Beginner,32k
126,Michigan State University,COURSE,4.7,Mixed,130k
127,Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner,340k
128,University of Michigan,COURSE,4.6,Mixed,82k
129,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,790k
130,University of Lausanne,COURSE,4.8,Beginner,31k
131,Johns Hopkins University,COURSE,4.7,Beginner,23k
132,The University of Edinburgh,COURSE,4.7,Mixed,19k
133,Stanford University,COURSE,4.7,Beginner,30k
134,Peking University,COURSE,4.8,Beginner,22k
135,Cisco,SPECIALIZATION,4.7,Beginner,57k
136,University of Amsterdam,COURSE,4.8,Mixed,51k
137,IESE Business School,SPECIALIZATION,4.8,Beginner,51k
138,Yale University,SPECIALIZATION,4.6,Beginner,4.8k
139,University of Pittsburgh,COURSE,4.8,Beginner,32k
140,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,110k
141,LearnQuest,COURSE,4.5,Beginner,37k
142,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310k
143,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,37k
144,The University of Edinburgh,COURSE,4.7,Beginner,120k
145,Rice University,SPECIALIZATION,4.7,Beginner,15k
146,University of Toronto,COURSE,4.8,Beginner,43k
147,University of Colorado Boulder,COURSE,4.9,Beginner,6.4k
148,Universitat Autònoma de Barcelona,COURSE,4.7,Beginner,43k
149,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,350k
150,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5.8k
151,University of Pennsylvania,COURSE,4.8,Beginner,33k
152,University of Colorado System,SPECIALIZATION,4.6,Beginner,27k
153,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66k
154,Columbia University,COURSE,4.7,Beginner,19k
155,Columbia University,SPECIALIZATION,4.7,Beginner,61k
156,Columbia University,COURSE,4.8,Beginner,43k
157,Columbia University,COURSE,4.8,Beginner,15k
158,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,220k
159,Northwestern University,SPECIALIZATION,4.5,Beginner,27k
160,University of Virginia,COURSE,4.6,Beginner,26k
161,Georgia Institute of Technology,COURSE,4.8,Mixed,49k
162,deeplearning.ai,COURSE,4.9,Intermediate,240k
163,deeplearning.ai,COURSE,4.7,Intermediate,46k
164,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10k
